reporter_call,reporter_grid,latitude,longitude,spots,first_seen,last_seen,active_days
13HN1525,JO62TG,52.271,13.625,3045,2026-07-14 18:14:00,2026-07-17 04:08:00,4
22DX,NO13TH,53.312,83.625,91,2026-07-14 17:02:00,2026-07-14 23:54:00,1
29NW1,IO53QW,53.938,-8.625,68,2026-07-17 15:28:00,2026-07-17 15:40:00,1
2E0CIT,JO01AK,51.438,0.042,338,2026-07-15 15:26:00,2026-07-17 00:48:00,2
2E0DSS,IO82XL,52.479,-2.042,10585,2026-07-14 17:00:00,2026-07-17 16:58:00,4
2E0FWE,IO90BS,50.771,-1.875,665,2026-07-14 17:04:00,2026-07-17 16:56:00,4
2E0GXA,IO82,52.479,-3.042,254,2026-07-14 19:36:00,2026-07-16 00:20:00,3
2E0GXA,IO82PV,52.896,-2.708,2,2026-07-15 22:40:00,2026-07-15 22:56:00,1
2E0GXA,IO82UD,52.146,-2.292,1,2026-07-15 21:00:00,2026-07-15 21:00:00,1
2E0GXA,IO82VB,52.062,-2.208,1,2026-07-15 23:16:00,2026-07-15 23:16:00,1
2E0GXA,IO82VE,52.188,-2.208,7,2026-07-15 20:50:00,2026-07-16 00:20:00,2
2E0GXA,IO82WL,52.479,-2.125,4,2026-07-15 21:02:00,2026-07-15 23:42:00,1
2E0IFB,IO91QV,51.896,-0.625,24,2026-07-16 14:12:00,2026-07-16 14:16:00,1
2E0MZA,IO90WT,50.812,-0.125,447,2026-07-14 17:00:00,2026-07-17 16:32:00,4
2E0SIO,IO91RI,51.354,-0.542,2523,2026-07-14 17:00:00,2026-07-17 16:56:00,4
3B8DU/2,LG89UX,-20.021,57.708,46,2026-07-16 14:10:00,2026-07-17 14:10:00,2
4X1DA,KM71LV,31.896,34.958,861,2026-07-14 17:02:00,2026-07-17 16:58:00,4
4X1DA,KM71MV,31.896,35.042,133,2026-07-16 01:34:00,2026-07-16 06:30:00,1
56IGJF,FN42ED,42.146,-71.625,14176,2026-07-14 17:00:00,2026-07-17 16:58:00,4
5Q9T,JO65EG,55.271,12.375,71,2026-07-15 20:00:00,2026-07-16 21:08:00,2
5Z4GO,KI96UA,-3.979,39.708,3319,2026-07-14 21:42:00,2026-07-17 16:58:00,4
6K5EHZ,PM35XF,35.229,127.958,1,2026-07-16 12:46:00,2026-07-16 12:46:00,1
7L4IOU1,PM95WR,35.729,139.875,409,2026-07-14 17:06:00,2026-07-17 16:54:00,4
7L4IOU2,PM95WR,35.729,139.875,1158,2026-07-14 17:06:00,2026-07-17 16:54:00,4
7L4IOU3,PM95WR,35.729,139.875,1589,2026-07-14 17:04:00,2026-07-17 16:54:00,4
7L4IOU4,PM95WR,35.729,139.875,1654,2026-07-14 17:04:00,2026-07-17 16:56:00,4
7L4IOU9,PM95WR,35.729,139.875,1743,2026-07-14 17:04:00,2026-07-17 16:54:00,4
9A1FER,JN75XT,45.812,15.958,15436,2026-07-14 17:00:00,2026-07-17 16:58:00,4
9M4CMA,OJ03TB,3.062,101.625,113,2026-07-14 20:08:00,2026-07-17 16:12:00,4
9V1KG,OJ11XI,1.354,103.958,120,2026-07-14 17:38:00,2026-07-17 15:30:00,4
A2NEW,KG25,-24.521,24.958,975,2026-07-14 17:02:00,2026-07-17 16:32:00,4
A6009SWL,LL75QH,25.312,55.375,68,2026-07-14 17:06:00,2026-07-17 16:08:00,4
AA0N,EN42FA,42.021,-91.542,1557,2026-07-15 05:06:00,2026-07-17 06:40:00,3
AA0O,EL87PQ,27.688,-82.708,1133,2026-07-14 17:00:00,2026-07-17 16:54:00,4
AA0ZT/1,EN35JC,45.104,-93.208,1917,2026-07-14 17:00:00,2026-07-17 16:58:00,4
AA1QR,FN43CE,43.188,-71.792,2564,2026-07-14 17:04:00,2026-07-17 16:32:00,4
AA4WF,EM77QC,37.104,-84.625,619,2026-07-15 22:14:00,2026-07-16 00:32:00,2
AA5CT,EM13QC,33.104,-96.625,53,2026-07-14 17:00:00,2026-07-17 16:58:00,4
AA6KL,CM87WJ,37.396,-122.125,823,2026-07-14 17:00:00,2026-07-17 16:46:00,4
AA7NM,CN86OX,46.979,-122.792,21965,2026-07-14 17:00:00,2026-07-17 06:58:00,4
AB0AC,EM37JE,37.188,-93.208,834,2026-07-14 22:54:00,2026-07-17 01:34:00,4
AB0TS,EN35JA,45.021,-93.208,166,2026-07-15 00:16:00,2026-07-16 00:34:00,2
AB1KW,FN43FE,43.188,-71.542,14779,2026-07-14 17:00:00,2026-07-17 16:58:00,4
AB1LF,FN42FE,42.188,-71.542,18,2026-07-17 13:28:00,2026-07-17 14:00:00,1
