reporter_call,reporter_grid,latitude,longitude,spots,first_seen,last_seen,active_days
13HN1525,JO62TG,52.271,13.625,1116,2026-07-16 18:12:00,2026-07-17 04:08:00,2
29NW1,IO53QW,53.938,-8.625,68,2026-07-17 15:28:00,2026-07-17 15:40:00,1
2E0CIT,JO01AK,51.438,0.042,34,2026-07-17 00:38:00,2026-07-17 00:48:00,1
2E0DSS,IO82XL,52.479,-2.042,3827,2026-07-16 17:00:00,2026-07-17 16:58:00,2
2E0FWE,IO90BS,50.771,-1.875,58,2026-07-17 08:54:00,2026-07-17 16:56:00,1
2E0MZA,IO90WT,50.812,-0.125,165,2026-07-16 17:02:00,2026-07-17 16:32:00,2
2E0SIO,IO91RI,51.354,-0.542,1027,2026-07-16 17:00:00,2026-07-17 16:56:00,2
3B8DU/2,LG89UX,-20.021,57.708,36,2026-07-17 04:42:00,2026-07-17 14:10:00,1
4X1DA,KM71LV,31.896,34.958,309,2026-07-16 17:12:00,2026-07-17 16:58:00,2
56IGJF,FN42ED,42.146,-71.625,5171,2026-07-16 17:02:00,2026-07-17 16:58:00,2
5Q9T,JO65EG,55.271,12.375,31,2026-07-16 18:38:00,2026-07-16 21:08:00,1
5Z4GO,KI96UA,-3.979,39.708,1654,2026-07-16 17:02:00,2026-07-17 16:58:00,2
7L4IOU1,PM95WR,35.729,139.875,138,2026-07-16 17:00:00,2026-07-17 16:54:00,2
7L4IOU2,PM95WR,35.729,139.875,327,2026-07-16 17:00:00,2026-07-17 16:54:00,2
7L4IOU3,PM95WR,35.729,139.875,482,2026-07-16 17:00:00,2026-07-17 16:54:00,2
7L4IOU4,PM95WR,35.729,139.875,539,2026-07-16 17:00:00,2026-07-17 16:56:00,2
7L4IOU9,PM95WR,35.729,139.875,575,2026-07-16 17:00:00,2026-07-17 16:54:00,2
9A1FER,JN75XT,45.812,15.958,4613,2026-07-16 17:00:00,2026-07-17 16:58:00,2
9M4CMA,OJ03TB,3.062,101.625,28,2026-07-16 17:26:00,2026-07-17 16:12:00,2
9V1KG,OJ11XI,1.354,103.958,64,2026-07-17 01:52:00,2026-07-17 15:30:00,1
A2NEW,KG25,-24.521,24.958,391,2026-07-16 17:00:00,2026-07-17 16:32:00,2
A6009SWL,LL75QH,25.312,55.375,2,2026-07-16 17:18:00,2026-07-17 16:08:00,2
AA0N,EN42FA,42.021,-91.542,375,2026-07-17 05:06:00,2026-07-17 06:40:00,1
AA0O,EL87PQ,27.688,-82.708,179,2026-07-16 17:02:00,2026-07-17 16:54:00,2
AA0ZT/1,EN35JC,45.104,-93.208,744,2026-07-16 17:00:00,2026-07-17 16:58:00,2
AA1QR,FN43CE,43.188,-71.792,950,2026-07-16 17:00:00,2026-07-17 16:32:00,2
AA5CT,EM13QC,33.104,-96.625,25,2026-07-16 17:04:00,2026-07-17 16:58:00,2
AA6KL,CM87WJ,37.396,-122.125,143,2026-07-16 20:16:00,2026-07-17 16:46:00,2
AA7NM,CN86OX,46.979,-122.792,10916,2026-07-16 17:00:00,2026-07-17 06:58:00,2
AB0AC,EM37JE,37.188,-93.208,292,2026-07-16 20:54:00,2026-07-17 01:34:00,2
AB1KW,FN43FE,43.188,-71.542,4970,2026-07-16 17:00:00,2026-07-17 16:58:00,2
AB1LF,FN42FE,42.188,-71.542,18,2026-07-17 13:28:00,2026-07-17 14:00:00,1
AB1OF,DM05TI,35.354,-118.375,436,2026-07-16 17:04:00,2026-07-17 15:36:00,2
AC0G,EM38WW,38.938,-92.125,38022,2026-07-16 17:00:00,2026-07-17 16:58:00,2
AC0G/ND,EN16OV,46.896,-96.792,19686,2026-07-16 17:00:00,2026-07-17 16:58:00,2
AC0G/S,EM38WW,38.938,-92.125,14674,2026-07-16 17:00:00,2026-07-17 16:58:00,2
AC0ZW,DM79JU,39.854,-105.208,567,2026-07-16 23:06:00,2026-07-17 04:26:00,2
AC1BC,FN42LH,42.312,-71.042,433,2026-07-16 17:00:00,2026-07-17 16:52:00,2
AC1UZ,FN43SN,43.562,-70.458,9713,2026-07-16 17:00:00,2026-07-17 16:58:00,2
AC2GW,FN13DF,43.229,-77.708,90,2026-07-16 17:00:00,2026-07-16 18:36:00,1
AC4WW,EM93DL,33.479,-81.708,2999,2026-07-16 17:02:00,2026-07-17 12:36:00,2
AC7IJ,CN87VU,47.854,-122.208,2192,2026-07-16 17:00:00,2026-07-17 16:24:00,2
AC8YJ,EN91OV,41.896,-80.792,3879,2026-07-16 21:56:00,2026-07-17 16:58:00,2
AC9RZ,EN52,42.479,-89.042,3478,2026-07-16 17:04:00,2026-07-17 16:58:00,2
AC9RZ,EN52ET,42.812,-89.625,5,2026-07-17 00:46:00,2026-07-17 04:46:00,1
AC9RZ,EN52WD,42.146,-88.125,9,2026-07-17 01:22:00,2026-07-17 09:22:00,1
AD0VC,DM79LT,39.812,-105.042,695,2026-07-16 17:00:00,2026-07-17 16:58:00,2
AD2Q,EN81XJ,41.396,-82.042,191,2026-07-16 19:04:00,2026-07-17 16:20:00,2
AD7QQ,DN16NR,46.729,-116.875,6,2026-07-16 17:06:00,2026-07-17 16:06:00,2
AD7UI,DN32TV,42.896,-112.375,50,2026-07-17 15:42:00,2026-07-17 15:58:00,1
AD8Y,EN91FL,41.479,-81.542,130,2026-07-17 01:54:00,2026-07-17 16:56:00,1
